ts_code,name,market,publisher,category,base_date,list_date,discovery_market
000153.SH,上民红利,SSE,中证指数有限公司、上海证券交易所,策略指数,20090630,20120720,SSE
000155.SH,市值百强,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20120720,SSE
000158.SH,上证环保,SSE,中证指数有限公司、上海证券交易所,主题指数,20111230,20120925,SSE
000159.SH,沪股通,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20141117,SSE
000160.SH,沪新丝路,SSE,中证指数有限公司、上海证券交易所,主题指数,20121231,20150624,SSE
000161.SH,沪中国造,SSE,中证指数有限公司、上海证券交易所,主题指数,20120629,20151029,SSE
000162.SH,沪互联+,SSE,中证指数有限公司、上海证券交易所,主题指数,20120629,20151029,SSE
000170.SH,50AH优选,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20151210,SSE
000188.SH,中国波指,SSE,中证指数有限公司、上海证券交易所,策略指数,,20161128,SSE
000300.SH,沪深300,SSE,中证指数有限公司、上海证券交易所,规模指数,20041231,20050408,SSE
000510.SH,中证A500,SSE,中证指数有限公司,规模指数,20041231,20240923,SSE
000680.SH,科创综指,SSE,中证指数有限公司、上海证券交易所,综合指数,20191231,20250120,SSE
000681.SH,科创价格,SSE,中证指数有限公司、上海证券交易所,综合指数,20191231,20250120,SSE
000682.SH,科创信息,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20210816,SSE
000683.SH,科创生物,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20220509,SSE
000685.SH,科创芯片,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20220613,SSE
000687.SH,科创高装,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20220815,SSE
000688.SH,科创50,SSE,中证指数有限公司、上海证券交易所,规模指数,20191231,20200723,SSE
000689.SH,科创材料,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20220815,SSE
000690.SH,科创成长,SSE,中证指数有限公司、上海证券交易所,策略指数,20191231,20221104,SSE
000691.SH,科创ESG,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20240321,SSE
000692.SH,科创新能,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20230403,SSE
000693.SH,科创机械,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20230403,SSE
000695.SH,科长三角,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20230403,SSE
000697.SH,科大湾区,SSE,中证指数有限公司、上海证券交易所,主题指数,20191231,20230403,SSE
