ts_code,api,status,rows
980034.CNI,index_daily,ok,2828
980032.SZ,index_daily,ok,2828
980030.SZ,index_daily,ok,2828
980018.SZ,index_daily,ok,2828
980016.SZ,index_daily,ok,2828
980022.SZ,index_daily,ok,2828
930604.CSI,index_daily,ok,3024
930606.CSI,index_daily,ok,2828
930608.CSI,index_daily,ok,2828
930614.CSI,index_daily,ok,2828
930625.CSI,index_daily,ok,2943
930633.CSI,index_daily,ok,2828
930632.CSI,index_daily,ok,2828
931580.CSI,index_daily,ok,2984
930641.CSI,index_daily,ok,2828
930648.CSI,index_daily,ok,2828
930651.CSI,index_daily,ok,2828
930652.CSI,index_daily,ok,2828
930653.CSI,index_daily,ok,2828
399975.SZ,index_daily,ok,2828
399976.SZ,index_daily,ok,2828
399986.SZ,index_daily,ok,2828
399987.SZ,index_daily,ok,2828
399989.SZ,index_daily,ok,2828
399994.SZ,index_daily,ok,2828
399995.SZ,index_daily,ok,2828
399998.SZ,index_daily,ok,2828
930697.CSI,index_daily,ok,2828
930707.CSI,index_daily,ok,2828
930708.CSI,index_daily,ok,2828
930662.CSI,index_daily,ok,2828
930709.CSI,index_daily,ok,2874
399808.SZ,index_daily,ok,2828
930716.CSI,index_daily,ok,2828
930712.CSI,index_daily,ok,2828
930713.CSI,index_daily,ok,2828
931575.CSI,index_daily,ok,2984
930725.CSI,index_daily,ok,2828
930726.CSI,index_daily,ok,2828
930721.CSI,index_daily,ok,2828
930743.CSI,index_daily,ok,2828
399812.SZ,index_daily,ok,2828
399814.SZ,index_daily,ok,2828
930782.CSI,index_daily,ok,2828
930781.CSI,index_daily,ok,2828
930796.CSI,index_daily,ok,3024
930821.CSI,index_daily,ok,2828
950096.CSI,index_daily,ok,2828
930840.CSI,index_daily,ok,2887
930865.CSI,index_daily,ok,2828
930850.CSI,index_daily,ok,2828
930851.CSI,index_daily,ok,2828
950105.CSI,index_daily,ok,2828
930901.CSI,index_daily,ok,2828
930902.CSI,index_daily,ok,2828
930903.CSI,index_daily,ok,2828
950109.CSI,index_daily,ok,2828
930914.CSI,index_daily,ok,2891
930910.CSI,index_daily,ok,2828
SPSIBI.OTH,,unsupported_code_suffix,0
930931.CSI,index_daily,ok,2893
