ts_code,indx_name,indx_csname,pub_party_name,api,p0,p1,price_return,cagr
H30352.CSI,中证500价值指数,500价值,中证指数有限公司,index_daily,8019.9189,10068.0526,0.25538084930010974,0.023004513734573795
931372.CSI,中证浙江国资创新发展指数,浙江国资,中证指数有限公司,index_daily,1838.0296,2303.7895,0.253401740646614,0.02284312248415965
399005.SZ,中小企业100指数,中小100,深圳证券信息有限公司、深圳证券交易所,index_daily,6872.163,8605.4918,0.2522246343691208,0.02274702367223802
000009.SH,上证380指数,上证380,中证指数有限公司、上海证券交易所,index_daily,5558.1731,6945.5603,0.2496120892672451,0.022533445010498587
000021.SH,上证180公司治理指数,180治理,中证指数有限公司、上海证券交易所,index_daily,825.8774,1030.3177,0.24754315834287288,0.022364022121419636
000905.SH,中证小盘500指数,中证500,中证指数有限公司,index_daily,6356.9538,7854.3336,0.2355498949827195,0.02137689392204667
000029.SH,上证180价值指数,180价值,中证指数有限公司、上海证券交易所,index_daily,3334.4817,4108.7065,0.23218744910191003,0.021098593740941363
930903.CSI,中证A股指数,中证A股,中证指数有限公司、上海证券交易所,index_daily,3309.0903,4068.1797,0.22939519057548852,0.02086696641000718
399802.SZ,中证500深市指数,500深市,中证指数有限公司,index_daily,5956.419,7292.2535,0.224268054346076,0.020440417406382583
000990.CSI,中证全指主要消费指数,全指消费,中证指数有限公司,index_daily,8543.2688,10449.6123,0.2231398244194307,0.02034633922373974
000038.SH,上证金融地产行业指数,上证金融,中证指数有限公司、上海证券交易所,index_daily,4336.2534,5295.7273,0.22126794988503207,0.02019007933380923
987022.CNI,国证港股通互联网指数,港股通互联网,深圳证券信息有限公司,index_daily,992.6717,1212.2257,0.22117483554734152,0.02018230073100913
931008.CSI,中证全指汽车指数,汽车指数,中证指数有限公司,index_daily,6936.3397,8432.6952,0.21572696331467145,0.01972626349725215
000806.CSI,中证消费服务领先指数,消费服务,中证指数有限公司、上海证券交易所,index_daily,6392.1444,7756.5222,0.21344602290273662,0.019534781280577507
H30590.CSI,中证机器人指数,机器人,中证指数有限公司,index_daily,1482.1602,1796.0681,0.2117908037201377,0.01939562467526601
930604.CSI,中证海外中国互联网30指数,中国互联网30,中证指数有限公司,index_daily,6266.765,7592.7179,0.21158490864106105,0.019378302824680338
CN5075.CNI,国证信息技术创新主题指数,国证信创,深圳证券信息有限公司,index_daily,8229.8098,9946.0771,0.20854276607947853,0.019122059651525802
H30252.CSI,中证500工业指数,500工业,中证指数有限公司,index_daily,5901.5161,7087.4457,0.20095337874279462,0.018480257261266564
399377.SZ,巨潮小盘价值指数,小盘价值,深圳证券信息有限公司,index_daily,6316.576,7528.4197,0.19185136061055874,0.0177057063856787
931066.CSI,中证军工龙头指数,军工龙头,中证指数有限公司,index_daily,2241.4378,2665.9322,0.1893848671598204,0.017494899465978264
000069.SH,上证消费80指数,消费80,中证指数有限公司、上海证券交易所,index_daily,3642.8211,4332.6175,0.1893577480376405,0.01749257945566174
000982.SH,中证500等权重指数,500等权,中证指数有限公司、上海证券交易所,index_daily,7741.2702,9180.3865,0.18590183042570985,0.017196539269729527
931151.CSI,中证光伏产业指数,光伏产业,中证指数有限公司、上海证券交易所,index_daily,2121.7057,2512.5222,0.18419920349933538,0.017050403549774273
931248.CSI,中证油气资源指数,油气资源,中证指数有限公司,index_daily,960.0319,1132.9781,0.18014630555505518,0.016701782841995527
931554.CSI,中证长江保护主题指数,长江保护,中证指数有限公司,index_daily,1657.4897,1955.6988,0.1799161104892535,0.016681949684177688
987024.CNI,国证港股通消费主题指数,港股通消费,深圳证券信息有限公司,index_daily,840.4857,989.9665,0.1778504976348796,0.01650382451607202
930838.CSI,中证高股息精选指数,CS高股息,中证指数有限公司,index_daily,5715.8441,6691.1209,0.17062690705647476,0.01587868990801633
930614.CSI,中证环保产业50指数,环保50,中证指数有限公司,index_daily,1750.3563,2048.1935,0.17015804153702874,0.015837994075979855
000018.SH,上证180金融股指数,180金融,中证指数有限公司、上海证券交易所,index_daily,4574.1547,5327.8387,0.16477011588611123,0.015369285306569669
399291.SZ,国证创业板中盘精选88指数,创精选88,深圳证券信息有限公司,index_daily,4285.6832,4948.6615,0.1546960587287458,0.014487659077192072
H30533.CSI,中证海外中国互联网50指数,中国互联网50,中证指数有限公司,index_daily,6291.4493,7180.5239,0.1413147523894056,0.013305834063665811
399439.SZ,国证石油天然气指数,国证油气,深圳证券信息有限公司,index_daily,1916.982,2177.5535,0.13592798471764467,0.012826556012487167
000813.CSI,中证细分化工产业主题指数,细分化工,中证指数有限公司,index_daily,3295.8176,3740.7534,0.13500012864789612,0.012743795231219712
000048.SH,上证社会责任指数,责任指数,中证指数有限公司、上海证券交易所,index_daily,1187.2269,1345.3822,0.13321404695260886,0.012584312840187906
931140.CSI,中证医药50指数,医药50,中证指数有限公司,index_daily,9172.2059,10384.4094,0.13216051985924127,0.01249013543655364
399634.SZ,中小企业100等权重指数,中小等权,深圳证券信息有限公司,index_daily,3925.722,4395.5888,0.11968926989735906,0.011369265293841302
399303.SZ,国证2000指数,国证2000,深圳证券信息有限公司,index_daily,8833.23,9887.5858,0.1193624302774865,0.011339739336634347
H30198.CSI,中证油气产业指数,油气产业,中证指数有限公司,index_daily,2271.633,2530.1088,0.11378413678617982,0.01083460880026732
930743.CSI,中证生物科技主题指数,中证生科,中证指数有限公司,index_daily,3056.1392,3390.6668,0.10946085178319098,0.01044155432932814
000984.CSI,沪深300等权重指数,300等权,中证指数有限公司,index_daily,4071.3286,4509.4749,0.10761752318395534,0.010273547513245829
399624.SZ,中小创业企业400指数,中创400,深圳证券信息有限公司、深圳证券交易所,index_daily,2397.758,2635.1608,0.09901032547905175,0.009485713960961206
931163.CSI,中证浙江100指数,浙江100,中证指数有限公司,index_daily,1996.8699,2187.2045,0.09531647504927587,0.009145904492180668
932000.CSI,中证2000指数,中证2000,中证指数有限公司,index_daily,2830.1123,3091.3694,0.09231333329069669,0.008868874612701694
000037.SH,上证医药卫生行业指数,上证医药,中证指数有限公司、上海证券交易所,index_daily,6038.1518,6592.2928,0.09177328069161828,0.008818983844309125
H01077.CSI,上证10年期国债指数(净价),10年国债(净),中证指数有限公司,index_daily,101.1401,109.9869,0.08747074602457383,0.008420714775172922
H00945.CSI,中证内地运输主题全收益指数,内地运收,中证指数有限公司,index_daily,2005.9879,2168.688,0.0811072190415505,0.007829059943685657
930709.CSI,中证香港证券投资主题指数,香港证券,中证指数有限公司,index_daily,1221.8858,1314.2019,0.0755521506183312,0.007310004405696624
931166.CSI,中证医药健康100策略指数,医药健康100,中证指数有限公司、上海证券交易所,index_daily,3778.8483,4048.8305,0.07144563067006415,0.006924745266729371
000914.SH,沪深300金融地产指数,300金融,中证指数有限公司,index_daily,5603.5844,6003.8041,0.07142208833331765,0.00692253277967958
000949.CSI,中证农业主题指数,中证农业,中证指数有限公司,index_daily,4635.8567,4965.9712,0.07120895259769355,0.006902500488861207
930796.CSI,中证全球中国互联网指数,全球中国互联网,中证指数有限公司,index_daily,1559.1446,1669.9529,0.07106993155092867,0.006889432187394462
932217.CSI,中证制药指数,制药指数,中证指数有限公司,index_daily,1856.5311,1987.3173,0.0704465440950599,0.006830813540739333
000051.SH,上证180等权重指数,180等权,中证指数有限公司,index_daily,8486.0412,9057.3742,0.06732621095452629,0.006536938407260218
H30199.CSI,中证全指电力公用事业指数,电力指数,中证指数有限公司,index_daily,2669.8735,2833.0429,0.061115030356307054,0.005949656382428836
H30035.CSI,沪深300非银行金融指数,300非银,中证指数有限公司,index_daily,8700.7789,9230.1261,0.060839058903105814,0.005923490898358308
931033.CSI,中证杭州湾区指数,杭州湾区,中证指数有限公司,index_daily,1453.748,1534.0623,0.05524637007239219,0.005391910889444684
000913.SH,沪深300医药卫生指数,300医药,中证指数有限公司,index_daily,7929.6689,8328.5783,0.05030593395898286,0.004920213432980658
931484.CSI,中证医药及医疗器械创新指数,CS医药创新,中证指数有限公司,index_daily,1343.5791,1399.5488,0.04165716778416706,0.004089627351043568
000140.CSI,上证5年期国债指数,5年国债,中证指数有限公司,index_daily,111.7432,116.3191,0.040950142827482994,0.004021453927421037
