ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,api
931409.CSI,中证沪港深创新药产业指数,SHS创新药,中证指数有限公司,20200220.0,20141231.0,1000.0,半年,index_daily
931404.CSI,中证沪港深品牌消费50指数,SHS品牌消费50,中证指数有限公司,20200220.0,20091231.0,1000.0,半年,index_daily
931412.CSI,中证证券公司30指数,证券公司30,中证指数有限公司,20200220.0,20131231.0,1000.0,半年,index_daily
931406.CSI,中证5G产业50指数,5G50,中证指数有限公司,20200220.0,20151231.0,1000.0,半年,index_daily
931454.CSI,中证港股通消费主题指数,港股通消费,中证指数有限公司,20200306.0,20141114.0,1000.0,半年,index_daily
399285.SZ,深证物联网50指数,物联网50,深圳证券信息有限公司、深圳证券交易所,20200218.0,20121231.0,1000.0,半年,index_daily
931447.CSI,中证科技先锋指数,科技先锋,中证指数有限公司、上海证券交易所,20200421.0,20140630.0,1000.0,半年,index_daily
931470.CSI,中证沪港深云计算产业指数,SHS云计算,中证指数有限公司、上海证券交易所,20200421.0,20141231.0,1000.0,半年,index_daily
931442.CSI,中证沪港深科技100指数,SHS科技100,中证指数有限公司、上海证券交易所,20200421.0,20141114.0,3000.0,半年,index_daily
931456.CSI,中证全球中国教育主题指数,中国教育,中证指数有限公司、上海证券交易所,20200421.0,20141231.0,1000.0,半年,index_daily
931463.CSI,沪深300ESG基准指数,300ESG,中证指数有限公司,20200430.0,20170630.0,1000.0,半年,index_daily
931476.CSI,中证ESG120策略指数,ESG120策略,中证指数有限公司,20200430.0,20170630.0,1000.0,半年,index_daily
931480.CSI,中证线上消费主题指数,线上消费,中证指数有限公司,20200506.0,20141231.0,1000.0,半年,index_daily
931481.CSI,中证沪港深线上消费主题指数,SHS线上消费,中证指数有限公司,20200506.0,20141231.0,1000.0,半年,index_daily
931484.CSI,中证医药及医疗器械创新指数,CS医药创新,中证指数有限公司,20200506.0,20141231.0,1000.0,半年,index_daily
931487.CSI,中证沪港深人工智能50指数,SHS人工智能50,中证指数有限公司,20200506.0,20141231.0,1000.0,半年,index_daily
931468.CSI,中证红利质量指数,红利质量,中证指数有限公司、上海证券交易所,20200521.0,20041231.0,1000.0,半年,index_daily
931494.CSI,中证消费电子主题指数,消费电子,中证指数有限公司,20200612.0,20121231.0,1000.0,半年,index_daily
931469.CSI,中证云计算50指数,云计算50,中证指数有限公司,20200612.0,20141231.0,1000.0,半年,index_daily
931495.CSI,中证工业互联网主题指数,工业互联,中证指数有限公司,20200708.0,20141231.0,1000.0,半年,index_daily
931521.CSI,中证智选航空航天科技指数,智选航空航天科技,中证指数有限公司,20200708.0,20121231.0,1000.0,半年,index_daily
000688.SH,上证科创板50成份指数,科创50,中证指数有限公司、上海证券交易所,20200723.0,20191231.0,1000.0,三个月,index_daily
931524.CSI,中证沪港深科技龙头指数,SHS科技龙头,中证指数有限公司,20200716.0,20141114.0,1000.0,半年,index_daily
931552.CSI,中证1-3年国债指数,1-3年国债,中证指数有限公司,20200803.0,20071231.0,100.0,一个月,index_daily
931554.CSI,中证长江保护主题指数,长江保护,中证指数有限公司,20200819.0,20140630.0,1000.0,半年,index_daily
931526.CSI,中证企业核心竞争力50指数,企业核心竞争力50,中证指数有限公司,20200824.0,20170630.0,1000.0,一年,index_daily
FISAULM.OTH,富时沙特阿拉伯指数,富时沙特阿拉伯指数,富时罗素,20181127.0,,,,
931582.CSI,中证数字经济主题指数,数字经济,中证指数有限公司,20201109.0,20161230.0,1000.0,半年,index_daily
931586.CSI,中证智选300价值稳健策略指数,300价值稳健,中证指数有限公司,20201109.0,20041231.0,1000.0,三个月,index_daily
931587.CSI,中证智选500价值稳健策略指数,500价值稳健,中证指数有限公司,20201109.0,20041231.0,1000.0,三个月,index_daily
931588.CSI,中证智选1000价值稳健策略指数,1000价值稳健,中证指数有限公司,20201109.0,20041231.0,1000.0,三个月,index_daily
931589.CSI,中证智选300成长创新策略指数,300成长创新,中证指数有限公司,20201109.0,20041231.0,1000.0,三个月,index_daily
931590.CSI,中证智选500成长创新策略指数,500成长创新,中证指数有限公司,20201109.0,20041231.0,1000.0,三个月,index_daily
931591.CSI,中证智选1000成长创新策略指数,1000成长创新,中证指数有限公司,20201109.0,20041231.0,1000.0,三个月,index_daily
399276.SZ,创业板科技指数,创科技,深圳证券信息有限公司、深圳证券交易所,20201026.0,20121231.0,1000.0,半年,index_daily
399275.SZ,创业板医药卫生指数,创医药,深圳证券信息有限公司、深圳证券交易所,20201026.0,20121231.0,1000.0,半年,index_daily
931596.CSI,中证沪港深张江自主创新50指数,SHS张江50,中证指数有限公司,20201218.0,20141231.0,1000.0,半年,index_daily
931594.CSI,中证卫星产业指数,卫星产业,中证指数有限公司,20201222.0,20151231.0,1000.0,半年,index_daily
931637.CSI,中证港股通互联网指数,港股通互联网,中证指数有限公司,20210111.0,20161230.0,1000.0,半年,index_daily
987008.CNI,国证港股通科技指数,港股通科技,深圳证券信息有限公司,20210308.0,20141231.0,1000.0,三个月,index_daily
931695.CSI,中证成渝地区双城经济圈成份指数,成渝经济圈,中证指数有限公司,20210429.0,20111230.0,1000.0,半年,index_daily
931643.CSI,中证科创创业50指数,科创创业50,中证指数有限公司,20210601.0,20191231.0,1000.0,三个月,index_daily
931696.CSI,中证科技优势成长50策略指数,科技50策略,中证指数有限公司,20210712.0,20081231.0,1000.0,三个月,index_daily
CBA21801.OTH,中债-30年期国债指数,中债-30年期国债指数,中央国债登记结算有限责任公司,20210709.0,20101231.0,100.0,一个月,
000682.SH,上证科创板新一代信息技术指数,科创信息,中证指数有限公司、上海证券交易所,20210816.0,20191231.0,1000.0,三个月,index_daily
931733.CSI,中证绿色能源指数,绿色能源,中证指数有限公司,20210819.0,20131231.0,1000.0,半年,index_daily
931752.CSI,中证工程机械主题指数,工程机械主题,中证指数有限公司,20210927.0,20160630.0,1000.0,半年,index_daily
GPCCH003.OTH,富时中国国企开放共赢指数,富时中国国企开放共赢指数,富时罗素,20190927.0,20170317.0,1000.0,半年,
931755.CSI,中证上海环交所碳中和指数,SEEE碳中和,中证指数有限公司,20211021.0,20170630.0,1000.0,半年,index_daily
987016.CNI,国证港股通红利低波动率指数,港股通红利低波,深圳证券信息有限公司,20211118.0,20141231.0,1000.0,半年,index_daily
987018.CNI,国证港股通创新药指数,港股通创新药,深圳证券信息有限公司,20211118.0,20181231.0,1000.0,三个月,index_daily
987022.CNI,国证港股通互联网指数,港股通互联网,深圳证券信息有限公司,20211118.0,20141231.0,1000.0,半年,index_daily
931790.CSI,中证韩交所中韩半导体指数,中韩半导体,中证指数有限公司,20211220.0,20141231.0,1000.0,半年,index_daily
SPNCSCHN.OTH,标普新中国行业(A股上限)指数,标普新中国行业(A股上限)指数,标普道琼斯指数有限公司,20200630.0,20101231.0,1000.0,,
987024.CNI,国证港股通消费主题指数,港股通消费,深圳证券信息有限公司,20220411.0,20141231.0,1000.0,三个月,index_daily
931866.CSI,中证机床指数,中证机床,中证指数有限公司,20220509.0,20161230.0,1000.0,半年,index_daily
000683.SH,上证科创板生物医药指数,科创生物,中证指数有限公司、上海证券交易所,20220509.0,20191231.0,1000.0,三个月,index_daily
000685.SH,上证科创板芯片指数,科创芯片,中证指数有限公司、上海证券交易所,20220613.0,20191231.0,1000.0,三个月,index_daily
931239.CSI,中证港股通汽车产业主题指数,港股通汽车,中证指数有限公司,20220721.0,20161230.0,1000.0,半年,index_daily
932069.CSI,中证港股通医疗主题指数,港股通医疗主题,中证指数有限公司,20220721.0,20181231.0,1000.0,半年,index_daily
931235.CSI,中证电信主题指数,中证电信,中证指数有限公司,20220721.0,20181228.0,1000.0,半年,index_daily
000689.SH,上证科创板新材料指数,科创材料,中证指数有限公司、上海证券交易所,20220815.0,20191231.0,1000.0,三个月,index_daily
931994.CSI,中证电网设备主题指数,电网设备主题,中证指数有限公司,20221011.0,20140630.0,1000.0,半年,index_daily
