ts_code,name,universe,rebalance_frequency,return_basis,source_code,note,window,status,as_of,start_date,end_date,start_close,end_close,return,cagr
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,4654.6089,5276.2319,0.1335499960050348,0.133647325774789
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,4070.1597,5392.05,0.3247760278300629,0.15567190287965182
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,3423.0041,5392.05,0.5752391298625672,0.16350206587530014
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,3042.6374,5392.05,0.7721631897379557,0.12119290199173482
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,1461.4421,5392.05,2.689540625660093,0.1393940703073171
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_15_years,insufficient_history,2026-09-04,,,,,,
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_week,ok,2026-09-04,2026-08-28,2026-09-04,5038.8664,4987.6615,-0.010161988021750279,-0.41312917684647754
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_month,ok,2026-09-04,2026-08-04,2026-09-04,4992.1005,4987.6615,-0.0008892048547498588,-0.01042676234007689
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,5951.4014,4987.6615,-0.16193495199298769,-0.29579010775699177
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,ytd,ok,2026-09-04,2025-12-31,2026-09-04,5084.7237,4987.6615,-0.01908898216042676,-0.028098321664590142
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,4369.1649,4987.6615,0.14155945453100216,0.14166297776752113
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,3820.0348,5084.7237,0.3310673766636889,0.33132812835902614
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,3179.9857,4987.6615,0.5684540656896664,0.2605435492146706
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,3144.612,4987.6615,0.586097585330082,0.16616875904773964
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,3571.5038,4987.6615,0.39651580379110896,0.06904814047549968
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,1842.3736,4987.6615,1.707193318445293,0.10467409976744646
932367.CSI,500现金流,CSI 500,quarterly,gross_total_return,932367CNY010.CSI,50 constituents,last_15_years,insufficient_history,2026-09-04,,,,,,
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_week,ok,2026-09-04,2026-08-28,2026-09-04,8301.6656,8241.8286,-0.00720783067918318,-0.31439681658207463
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_month,ok,2026-09-04,2026-08-04,2026-09-04,8214.9303,8241.8286,0.0032743187121138106,0.03926719627804198
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,9436.1711,8241.8286,-0.12657067017362567,-0.2355766715969304
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,ytd,ok,2026-09-04,2025-12-31,2026-09-04,8482.6164,8241.8286,-0.028386029574554383,-0.04168905754560048
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,7608.5463,8241.8286,0.0832330217928754,0.08329234163431498
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,7222.0907,8482.6164,0.17453750615455443,0.1746669332063695
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,6363.1564,8241.8286,0.2952421851520106,0.14234545653422503
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,5042.5962,8241.8286,0.6344415204215639,0.1778958873513916
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,4488.2285,8241.8286,0.836321078572537,0.12919267753313535
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,1636.4742,8241.8286,4.036332745117521,0.17539169868860016
932368.CSI,800现金流,CSI 800,quarterly,gross_total_return,932368CNY010.CSI,50 constituents,last_15_years,insufficient_history,2026-09-04,,,,,,
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_week,ok,2026-09-04,2026-08-28,2026-09-04,4554.2547,4517.9927,-0.00796222486195175,-0.34105837799838323
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_month,ok,2026-09-04,2026-08-04,2026-09-04,4514.4003,4517.9927,0.0007957646113039285,0.009416231844291856
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,4991.5326,4517.9927,-0.09486863814131952,-0.17951584365315199
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,ytd,ok,2026-09-04,2025-12-31,2026-09-04,4793.0545,4517.9927,-0.05738758029978597,-0.08368396450162607
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,4548.3723,4517.9927,-0.006679224565676045,-0.006683784054332453
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,4052.6692,4793.0545,0.18269078068350608,0.182826710581111
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,3509.5304,4517.9927,0.2873496408522347,0.1387592166155347
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,3590.0693,4517.9927,0.2584694952824447,0.07962592871063712
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,3411.8564,4517.9927,0.32420365054050926,0.0577449083518784
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,2188.7514,4517.9927,1.0641872347860062,0.07513249453281534
932369.CSI,1000现金流,CSI 1000,quarterly,gross_total_return,932369CNY010.CSI,100 constituents,last_15_years,insufficient_history,2026-09-04,,,,,,
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_week,ok,2026-09-04,2026-08-28,2026-09-04,7460.1277,7401.673,-0.007835616540451507,-0.3366559505683222
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_month,ok,2026-09-04,2026-08-04,2026-09-04,7357.2525,7401.673,0.006037647885538844,0.07349881613643294
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,8287.1007,7401.673,-0.10684408601430428,-0.20092419626400038
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,ytd,ok,2026-09-04,2025-12-31,2026-09-04,7489.0844,7401.673,-0.01167184068589211,-0.017211355008973528
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,6824.0258,7401.673,0.08464903517803224,0.08470940312238073
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,6478.6021,7489.0844,0.15597227371009548,0.15608703878001218
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,5727.3284,7401.673,0.2923430407797114,0.1410293701426799
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,4704.6615,7401.673,0.5732636662595172,0.16301560151844696
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,4297.5349,7401.673,0.7223066646881682,0.11481476321365158
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,1650.8622,7401.673,3.4835195814647637,0.16181012651440407
931082.CSI,A500现金流,CSI A500,quarterly,gross_total_return,931082CNY010.CSI,50 constituents,last_15_years,insufficient_history,2026-09-04,,,,,,
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_week,ok,2026-09-04,2026-08-28,2026-09-04,3320.8279,3293.9994,-0.008078858889375207,-0.3450886114291779
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_month,ok,2026-09-04,2026-08-04,2026-09-04,3253.4026,3293.9994,0.012478258915757934,0.15732619142911997
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,3423.7232,3293.9994,-0.037889686876555806,-0.07380921602994217
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,ytd,ok,2026-09-04,2025-12-31,2026-09-04,3153.5232,3293.9994,0.04454579563581462,0.06656891767450612
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,2652.961,3293.9994,0.24163129424066176,0.24181536362812617
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,year_2025,ok,2026-09-04,2025-01-01,2025-12-31,1918.507,3153.5232,0.6437381776558542,0.6465458390616763
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,1854.7425,3293.9994,0.7759874483924318,0.3437578518136517
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,1387.7167,3293.9994,1.3736828993987031,0.33386646938190556
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,1253.356,3293.9994,1.6281434803838657,0.21309652962550407
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_10_years,insufficient_history,2026-09-04,,,,,,
932457.CSI,港股通现金流,Hong Kong Connect,semiannual,gross_total_return,932457HKD210.CSI,50 constituents; HKD,last_15_years,insufficient_history,2026-09-04,,,,,,
